time,acc_x,acc_y,acc_z,vel_x,vel_y,vel_z,mag_x,mag_y,mag_z
18:27.9,-0.019493968,0.088652482,9.927573283,0.045706862,-0.0454046,0.171098108,-0.070671378,6.167259786,6.245901639
18:27.9,-0.076833329,0.060283688,9.928430365,-0.139719502,-0.121078934,0.015554373,-0.067137809,6.163701068,6.262295082
18:27.9,-0.048400055,0.098108747,9.888528051,0.215133217,-0.030269734,0.093326241,-0.06360424,6.160142349,6.254098361
18:27.9,-0.087004546,0.117021277,9.927964701,0.261298711,-0.030269734,-0.077771867,-0.074204947,6.163701068,6.245901639
18:27.9,-0.067418613,0.079196217,9.987006687,0.108178118,0.0454046,0.186652481,-0.070671378,6.167259786,6.241803279
18:27.9,-0.048116367,0.069739953,9.898618835,-0.029095344,0.166483535,0.093326241,-0.067137809,6.167259786,6.25
18:27.9,-0.01958853,0.098108747,9.986339261,0.075719471,-0.121078934,0.186652481,-0.070671378,6.163701068,6.254098361
18:27.9,-0.01958853,0.098108747,9.947099531,-0.045401107,0.075674334,0,-0.067137809,6.163701068,6.25
18:27.9,-0.048116367,0.069739953,9.898618835,-0.076483858,0.0454046,0.062217494,-0.06360424,6.163701068,6.25
18:28.0,-0.009701001,0.069739953,9.908044614,-0.230674593,0.015134867,-0.062217494,-0.074204947,6.163701068,6.245901639
18:28.0,-0.019683093,0.107565012,9.937195982,0.108330996,0.060539467,0,-0.081272085,6.167259786,6.258196721
18:28.0,-0.057909334,0.088652482,9.878907774,0.183133202,-0.151348668,-0.031108747,-0.067137809,6.163701068,6.245901639
18:28.0,-0.067702301,0.107565012,9.927866241,0.168967723,-0.030269734,0.093326241,-0.06360424,6.170818505,6.254098361
18:28.0,-0.019777656,0.117021277,9.99596196,0.031082751,0.030269734,0.077771867,-0.067137809,6.167259786,6.25
18:28.0,-0.038607088,0.079196217,9.986718572,0.109248261,0.151348668,0.124434987,-0.070671378,6.167259786,6.25
18:28.0,-0.038796214,0.098108747,9.996341271,0.06170687,0.015134867,0.186652481,-0.067137809,6.170818505,6.254098361
18:28.0,-0.048683743,0.126477541,9.937296863,0.060330973,-0.121078934,0.062217494,-0.077738516,6.174377224,6.25
18:28.0,-0.019872218,0.126477541,9.927198815,0.031235628,0.0454046,-0.04666312,-0.070671378,6.170818505,6.254098361
18:28.0,0.009222994,0.098108747,9.956621348,-0.186496506,-0.181618402,-0.015554373,-0.084805654,6.174377224,6.25
18:28.0,-0.048494618,0.107565012,9.947294029,0.061859747,0.030269734,-0.031108747,-0.077738516,6.167259786,6.25
18:28.1,-0.04821093,0.079196217,9.937764948,-0.154343613,-0.0454046,0.062217494,-0.081272085,6.170818505,6.245901639
18:28.1,-0.048305492,0.088652482,9.839572005,-0.000305755,-0.030269734,-0.093326241,-0.077738516,6.163701068,6.258196721
18:28.1,-0.067891426,0.126477541,9.917869074,0.013553969,-0.181618402,0.077771867,-0.074204947,6.170818505,6.25
18:28.1,-0.01921028,0.060283688,9.986713729,0.031388506,0.060539467,0.124434987,-0.070671378,6.167259786,6.241803279
18:28.1,-0.048305492,0.088652482,9.947481263,0.030776996,0,0.139989361,-0.070671378,6.163701068,6.254098361
18:28.1,-0.019683093,0.107565012,9.937195982,-0.000305755,-0.030269734,0.093326241,-0.074204947,6.170818505,6.245901639
18:28.1,-0.01958853,0.098108747,9.966719396,0.060942482,-0.060539467,0.062217494,-0.070671378,6.163701068,6.254098361
18:28.1,-0.019683093,0.107565012,9.956815847,0.199438965,-0.060539467,0.202206855,-0.06360424,6.167259786,6.25
18:28.1,-0.019683093,0.107565012,9.907766184,0.014776988,-0.060539467,-0.031108747,-0.077738516,6.170818505,6.254098361
18:28.1,-0.019683093,0.107565012,9.897956251,-0.015541375,-0.015134867,-0.04666312,-0.081272085,6.167259786,6.25
18:28.2,-0.048683743,0.126477541,9.878437267,-0.030471241,0.030269734,0.139989361,-0.067137809,6.163701068,6.254098361
18:28.2,-0.04821093,0.079196217,9.937764948,-0.030318364,0.0454046,-0.108880614,-0.074204947,6.163701068,6.258196721
18:28.2,-0.01036294,0.135933806,9.907389294,0.21559185,0.015134867,0.124434987,-0.067137809,6.167259786,6.25
18:28.2,-0.019683093,0.107565012,9.937195982,0.21498034,-0.0454046,-0.062217494,-0.081272085,6.174377224,6.262295082
18:28.2,-0.029381497,0.117021277,9.917578538,-0.030165486,0.060539467,0.015554373,-0.074204947,6.170818505,6.25
18:28.2,-0.010457502,0.145390071,9.926915542,-0.030165486,0.060539467,0.062217494,-0.070671378,6.167259786,6.245901639
18:28.2,-0.048400055,0.098108747,9.976817444,0.216050482,0.060539467,0,-0.070671378,6.174377224,6.25
18:28.2,-0.038796214,0.098108747,9.849192282,0.108330996,0.060539467,-0.031108747,-0.09540636,6.163701068,6.254098361
18:28.2,-0.038985339,0.117021277,9.917674576,-0.076789613,0.015134867,-0.04666312,-0.074204947,6.163701068,6.258196721
18:28.2,-0.019966781,0.135933806,9.956534996,0.063082767,0.151348668,0.124434987,-0.074204947,6.163701068,6.25
